 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
132,	7.00153364e-01,	7.60286468e+02,	2.80084937e-04,	0,	3.39534239e-01,	4.67499819e+03,	1.73348278e+02,	
133,	7.00123606e-01,	7.59906381e+02,	1.49890480e-05,	3,	3.80086538e-01,	5.58336999e+03,	2.93034508e+01,	
134,	7.00085217e-01,	7.59854444e+02,	1.48539770e-05,	0,	5.19374567e-02,	6.64941945e+03,	2.48756732e+01,	
135,	6.99870012e-01,	7.59648862e+02,	8.36718012e-05,	0,	2.05582088e-01,	4.66651144e+03,	2.98669736e+01,	
136,	6.99430230e-01,	7.59605391e+02,	1.77117739e-04,	0,	4.34703241e-02,	6.82502460e+03,	8.46921018e+01,	
137,	6.99318840e-01,	7.59311040e+02,	4.78454631e-05,	1,	2.94350800e-01,	4.65288436e+03,	4.46371777e+01,	
138,	6.99207655e-01,	7.59012697e+02,	4.26453538e-05,	0,	2.98343734e-01,	6.71047832e+03,	2.70134482e+01,	
139,	6.99071480e-01,	7.58879753e+02,	5.40672830e-05,	0,	1.32943820e-01,	6.72037495e+03,	2.47229793e+01,	
140,	6.98787805e-01,	7.58626808e+02,	1.12212887e-04,	0,	2.52944573e-01,	4.76476615e+03,	5.84256592e+01,	
141,	6.98719893e-01,	7.58540980e+02,	2.85916939e-05,	2,	8.58286496e-02,	4.77945015e+03,	2.65275958e+01,	
142,	6.98651919e-01,	7.58451315e+02,	2.66958681e-05,	0,	8.96645835e-02,	6.76329635e+03,	2.24531768e+01,	
143,	6.98406921e-01,	7.58203042e+02,	9.77740620e-05,	0,	2.48273094e-01,	4.81827001e+03,	2.34518941e+01,	
144,	6.95741939e-01,	7.57987237e+02,	1.15162409e-03,	1,	2.15805249e-01,	8.02583114e+03,	1.21871821e+02,	
145,	6.95587708e-01,	7.56228660e+02,	7.60406129e-05,	3,	1.75857715e+00,	5.58172700e+03,	1.10991920e+02,	
146,	6.95440325e-01,	7.55780341e+02,	6.60609203e-05,	0,	4.48318550e-01,	7.31278164e+03,	7.38830963e+01,	
147,	6.95324620e-01,	7.55323360e+02,	4.88215358e-05,	0,	4.56981040e-01,	7.19595679e+03,	4.27039035e+01,	
148,	6.95200499e-01,	7.55033729e+02,	4.94036719e-05,	0,	2.89631342e-01,	7.19238271e+03,	4.04070662e+01,	
149,	6.95062546e-01,	7.54874839e+02,	5.49279316e-05,	0,	1.58889827e-01,	7.24406116e+03,	3.30895638e+01,	
150,	6.94920377e-01,	7.54641219e+02,	5.46826191e-05,	0,	2.33619628e-01,	7.30029958e+03,	3.98624872e+01,	
151,	6.94787242e-01,	7.54495883e+02,	5.10587961e-05,	0,	1.45335800e-01,	7.37389846e+03,	3.41238604e+01,	
152,	6.94656259e-01,	7.54234525e+02,	4.79006669e-05,	0,	2.61358037e-01,	7.43218506e+03,	3.27386431e+01,	
153,	6.94488597e-01,	7.53976528e+02,	6.02958509e-05,	0,	2.57997714e-01,	6.07656191e+03,	3.57594209e+01,	
154,	6.94174369e-01,	7.53455616e+02,	1.07585574e-04,	0,	5.20911682e-01,	6.38638811e+03,	1.51272818e+02,	
155,	6.94068568e-01,	7.53213613e+02,	3.27734532e-05,	1,	2.42002486e-01,	6.47165218e+03,	5.53620361e+01,	
156,	6.93967076e-01,	7.52663851e+02,	2.78700609e-05,	0,	5.49762949e-01,	7.98050307e+03,	5.48940817e+01,	
157,	6.92807939e-01,	7.47191447e+02,	3.46497004e-04,	0,	5.47240336e+00,	4.90872373e+03,	6.09191779e+01,	
158,	6.91193517e-01,	7.42447515e+02,	5.47133304e-04,	0,	4.74393190e+00,	2.63231186e+03,	3.13633776e+01,	
